ticker,definition,signal_date,classification,success_70_10,recovery_20,recovery_25,recovery_30,recovery_35,recovery_40,rsi_change_3,rsi_change_5,rsi_change_10,volume_s1,volume_first,rsi_first
CIIT,B_20_from_low,2026-03-26,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,0.7178640742525317,-2.0426484960535873,-0.08325443442774372,0.034307457193650005,S-15,S-20
CIIT,C_20_in_1_3,2026-04-17,no_significant_move,False,S-20,S-20,S-20,S-7,,8.731809764994182,6.16861994654019,4.881305015167072,0.3388407034782999,S-3,S-20
CIIT,D_rapid_expansion,2026-06-10,true_explosion,True,S-20,S-20,S-20,S-20,S-7,0.6854652490865902,9.714498018689369,5.709239036296864,5.1572327044025155,S-5,S-20
CIIT,E_base_breakout,2026-06-10,true_explosion,True,S-20,S-20,S-20,S-20,S-7,0.6854652490865902,9.714498018689369,5.709239036296864,5.1572327044025155,S-5,S-20
AREB,A_10_from_low,2026-04-27,no_significant_move,False,,,,,,0.0,0.0,0.0,,,
AREB,B_20_from_low,2026-04-27,no_significant_move,False,,,,,,0.0,0.0,0.0,,,
AREB,C_20_in_1_3,2026-04-27,no_significant_move,False,,,,,,0.0,0.0,0.0,,,
AREB,D_rapid_expansion,2026-04-27,no_significant_move,False,,,,,,0.0,0.0,0.0,,,
AREB,E_base_breakout,2026-04-27,no_significant_move,False,,,,,,0.0,0.0,0.0,,,
AZI,A_10_from_low,2026-04-01,no_significant_move,False,S-20,S-15,S-15,S-15,,-0.4399611105422423,-1.6875210250178867,-5.509146394520556,0.014741160278109636,,S-15
AZI,E_base_breakout,2026-05-14,gradual_rise,False,S-20,S-20,S-5,,,-1.2892870962788834,-0.04225412570978904,2.7177308841954755,0.43804262036306235,,S-5
AZI,B_20_from_low,2026-06-09,true_explosion,True,S-20,S-20,S-20,S-15,,3.3692488014996655,5.377283809535427,0.4255669449649062,4.6309355900329106,S-1,S-20
AZI,C_20_in_1_3,2026-06-09,true_explosion,True,S-20,S-20,S-20,S-15,,3.3692488014996655,5.377283809535427,0.4255669449649062,4.6309355900329106,S-1,S-20
AZI,D_rapid_expansion,2026-06-09,true_explosion,True,S-20,S-20,S-20,S-15,,3.3692488014996655,5.377283809535427,0.4255669449649062,4.6309355900329106,S-1,S-20
