ticker,definition,signal_date,classification,relative_day,rsi,rsi_slope,volume_ratio_20,macd_hist
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-3,32.32512471048213,-0.2821401545123905,0.25639246916492087,7.455419190623985
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-4,33.77163363237325,1.0636968818287802,0.1232100389616961,7.416167324463004
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-5,34.488166868385306,0.7206433380240327,0.17431239216482292,6.2750131848750925
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-6,33.1715451740193,-0.32138095516370413,0.1846271218767881,4.312779372810525
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-7,30.58054298688691,-1.5934794786777833,0.3797646637046901,2.8565735046122853
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-10,35.36098142292026,0.688159989944244,0.19595395800644397,-0.7454308393123483
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-15,31.47684398954742,0.6093133399340616,0.3424117115832502,-31.772660881799936
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-20,28.88020600139305,-2.835572592525241,0.9824263619203698,-47.95619551459308
ZNB,B_20_from_low,2026-03-30,No Significant Move,S,21.65562768107685,-0.11568507467050893,13.88627070601824,7.687374972301399
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-1,21.918528282555556,-0.09250815945355366,0.9416985223436836,6.667555119753416
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-2,21.945033735282124,-0.16917992390673456,0.7603050577831844,5.3646371095363605
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-3,22.002682905088378,-0.10232144328592103,0.5505075558674426,3.9469021999645406
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-4,22.196052760916217,-0.11718616247158782,0.42641596021109945,2.4514821288543516
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-5,22.452573507002327,0.02372798947167117,1.3296528374349386,0.8249247401539463
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-6,22.30964723494614,-0.08575034894882094,1.0087991578720072,-0.9473569200426084
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-7,22.54761124833098,-0.08621453345512482,0.9079776924099614,-2.4669445997808452
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-10,22.806254848696355,-1.255754074853049,3.4317332729536965,-4.092097616296201
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-15,32.32512471048213,-0.2821401545123905,0.25639246916492087,7.455419190623985
ZNB,B_20_from_low,2026-03-30,No Significant Move,S-20,32.32623685431321,-1.0115815228690177,0.14468240131150953,3.1597322717330485
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S,30.745852659429758,4.064327107159376,0.8380354678644554,0.2779655697299388
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-1,27.1444544678413,2.561952985022851,0.6313357827730275,0.2419730797206976
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-2,19.891396766152354,-0.7476260315954827,0.32680341226633847,0.21503848575149465
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-3,18.55287133795163,-1.5648425872547875,0.41071835595597395,0.2270697888611799
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-4,19.458595512772746,-0.8583985685260321,1.0313707049978216,0.26337237337528996
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-5,22.134274860938802,-0.1887047312593637,10.890301639636055,0.3036063649091423
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-6,23.24739909971599,0.5494156438585946,0.16009346629221055,0.30697817245550807
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-7,22.033791218350842,0.8551014962891941,0.2286052936378099,0.2930873165887853
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-10,19.46848672948326,-1.049248147477248,0.1603580715866694,0.26025708591471286
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-15,20.824217757710215,-0.9861962775500123,0.16157337383065018,0.2486736270761596
ZNB,C_20_in_1_3,2026-07-28,No Significant Move,S-20,24.444003686075106,1.091419502778706,0.030445588891281926,0.1288966220178258
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S,31.943643842422233,0.14503916118393553,1.0445221183927607,3.114845839447451
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-1,31.69284201405253,-0.06198147409958684,0.8570968008272163,3.2013825282149373
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-2,31.458294679427723,-0.21844826232144024,1.6247466860726612,3.2910259277757348
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-3,31.508526358870427,-0.3109057070679692,1.3231722192170214,3.3897698376908743
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-4,31.87878643635129,-0.1907910408188466,1.0555098762835344,3.4884147284213327
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-5,32.113639466392044,-0.1587571054916547,0.2690631850695242,3.549232286805003
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-6,32.441243480074334,-0.05243186070536391,0.30576037061863104,3.5730784804362195
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-7,32.45115955880783,0.08981299776553442,0.14457232812826074,3.533577743992165
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-10,32.18172056551123,-0.16198009921283565,0.20618167196064197,3.1135569976854853
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-15,33.42950271754961,0.06337741532897212,0.06837936578660565,1.2308189572841108
KXIN,A_10_from_low,2026-03-19,Temporary Spike,S-20,32.89671360329602,-0.15124112410550575,0.08112691794383649,-4.654289296997398
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S,33.867962045794684,0.7250400105807179,1.3982546455778657,2.97045610377587
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-1,31.943643842422233,0.16178305433150322,0.5233348728339154,3.020035266516487
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-2,31.943643842422233,0.14503916118393553,1.0445221183927607,3.114845839447451
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-3,31.69284201405253,-0.06198147409958684,0.8570968008272163,3.2013825282149373
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-4,31.458294679427723,-0.21844826232144024,1.6247466860726612,3.2910259277757348
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-5,31.508526358870427,-0.3109057070679692,1.3231722192170214,3.3897698376908743
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-6,31.87878643635129,-0.1907910408188466,1.0555098762835344,3.4884147284213327
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-7,32.113639466392044,-0.1587571054916547,0.2690631850695242,3.549232286805003
KXIN,B_20_from_low,2026-03-23,Temporary Spike,S-10,32.58991078286701,0.13359886002580387,0.1887398892318897,3.4551247330301145
