ticker,definition,signal_date,paper_signal,target,features_pre_signal_only,status
HKIT,C_20_in_1_3,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
HKIT,D_rapid_expansion,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
CDTG,C_20_in_1_3,2026-08-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
CDTG,D_rapid_expansion,2026-08-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
SCYX,B_20_from_low,2026-07-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZOOZ,C_20_in_1_3,2026-09-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZOOZ,D_rapid_expansion,2026-09-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
PRHI,A_10_from_low,2026-06-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
PRHI,B_20_from_low,2026-06-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
WYHG,C_20_in_1_3,2026-06-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
WYHG,D_rapid_expansion,2026-06-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
PW,A_10_from_low,2026-06-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
PW,B_20_from_low,2026-06-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
PW,C_20_in_1_3,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZCMD,C_20_in_1_3,2026-07-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZCMD,D_rapid_expansion,2026-07-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
GMM,C_20_in_1_3,2026-06-16,True,+70%,True,PAPER_SIGNAL_RESEARCH
SHPH,C_20_in_1_3,2026-07-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
SHPH,D_rapid_expansion,2026-07-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
SHPH,E_base_breakout,2026-07-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
AIFA,E_base_breakout,2026-08-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
AVX,B_20_from_low,2026-06-16,True,+70%,True,PAPER_SIGNAL_RESEARCH
AVX,C_20_in_1_3,2026-08-24,True,+70%,True,PAPER_SIGNAL_RESEARCH
AVX,D_rapid_expansion,2026-08-24,True,+70%,True,PAPER_SIGNAL_RESEARCH
AVX,E_base_breakout,2026-08-24,True,+70%,True,PAPER_SIGNAL_RESEARCH
AIFU,B_20_from_low,2026-08-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
UPLD,E_base_breakout,2026-08-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
BOXL,C_20_in_1_3,2026-06-25,True,+70%,True,PAPER_SIGNAL_RESEARCH
BOXL,D_rapid_expansion,2026-08-12,True,+70%,True,PAPER_SIGNAL_RESEARCH
BOXL,E_base_breakout,2026-08-12,True,+70%,True,PAPER_SIGNAL_RESEARCH
LABT,A_10_from_low,2026-06-23,True,+70%,True,PAPER_SIGNAL_RESEARCH
LABT,E_base_breakout,2026-09-01,True,+70%,True,PAPER_SIGNAL_RESEARCH
LHSW,D_rapid_expansion,2026-07-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
POM,C_20_in_1_3,2026-08-04,True,+70%,True,PAPER_SIGNAL_RESEARCH
ILLR,C_20_in_1_3,2026-06-26,True,+70%,True,PAPER_SIGNAL_RESEARCH
ILLR,D_rapid_expansion,2026-06-26,True,+70%,True,PAPER_SIGNAL_RESEARCH
DD,A_10_from_low,2026-08-05,True,+70%,True,PAPER_SIGNAL_RESEARCH
NAMI,B_20_from_low,2026-07-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
NAMI,C_20_in_1_3,2026-08-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
NAMI,D_rapid_expansion,2026-08-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZCMD,C_20_in_1_3,2026-07-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
ZCMD,D_rapid_expansion,2026-07-06,True,+70%,True,PAPER_SIGNAL_RESEARCH
HCWB,C_20_in_1_3,2026-07-31,True,+70%,True,PAPER_SIGNAL_RESEARCH
QNCX,A_10_from_low,2026-07-01,True,+70%,True,PAPER_SIGNAL_RESEARCH
NVVE,C_20_in_1_3,2026-07-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
SNAL,B_20_from_low,2026-07-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
SNAL,C_20_in_1_3,2026-07-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
SNAL,D_rapid_expansion,2026-07-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
CGTL,C_20_in_1_3,2026-08-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
PFSA,C_20_in_1_3,2026-08-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
PFSA,D_rapid_expansion,2026-08-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
PSQH,B_20_from_low,2026-07-28,True,+70%,True,PAPER_SIGNAL_RESEARCH
YHC,C_20_in_1_3,2026-07-31,True,+70%,True,PAPER_SIGNAL_RESEARCH
DFNS,C_20_in_1_3,2026-07-27,True,+70%,True,PAPER_SIGNAL_RESEARCH
DFNS,D_rapid_expansion,2026-07-27,True,+70%,True,PAPER_SIGNAL_RESEARCH
XPON,C_20_in_1_3,2026-08-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
