ticker,definition,signal_date,hypothesis,qualifies,success_70_10,max_return_20
LABT,E_base_breakout,2026-09-01,H1_RSI_Recovery_Volume_Expansion,True,False,-4.347821955569664
LHSW,E_base_breakout,2026-08-25,H1_RSI_Recovery_Volume_Expansion,False,False,44.82758795147595
POM,C_20_in_1_3,2026-08-04,H1_RSI_Recovery_Volume_Expansion,True,False,64.81995187048786
POM,D_rapid_expansion,2026-08-10,H1_RSI_Recovery_Volume_Expansion,False,False,9.174313832990855
FCUV,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,54.31033646450909
FCUV,D_rapid_expansion,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,54.31033646450909
YYGH,D_rapid_expansion,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,-2.8301861329449007
YYGH,E_base_breakout,2026-08-26,H1_RSI_Recovery_Volume_Expansion,False,False,-2.8301861329449007
DD,E_base_breakout,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,4.540688326967057
DD,A_10_from_low,2026-08-05,H1_RSI_Recovery_Volume_Expansion,True,False,1.3910586412978265
NAMI,C_20_in_1_3,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,-19.95464640523158
NAMI,D_rapid_expansion,2026-08-07,H1_RSI_Recovery_Volume_Expansion,True,False,-19.95464640523158
NUWE,B_20_from_low,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,-45.39325458626284
NUWE,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,-45.39325458626284
NUWE,D_rapid_expansion,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,-45.39325458626284
VRAX,E_base_breakout,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,14.465409700951891
GDC,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,97.25273685198536
MNDR,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,14.594586931762343
MNDR,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,14.594586931762343
HCWB,B_20_from_low,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,34.60316326192332
HCWB,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,True,False,32.4999908730389
HCWB,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,10.479046468424702
JBDI,C_20_in_1_3,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,0.6849308357518069
TRNR,E_base_breakout,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,6.666666666666665
ABTC,E_base_breakout,2026-08-10,H1_RSI_Recovery_Volume_Expansion,False,False,33.94625229271326
CRIS,B_20_from_low,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,11.229942160545336
HKIT,C_20_in_1_3,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,3.488368708227374
HKIT,D_rapid_expansion,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,3.488368708227374
CGTL,C_20_in_1_3,2026-08-17,H1_RSI_Recovery_Volume_Expansion,True,False,10.7933236426218
PFSA,E_base_breakout,2026-08-17,H1_RSI_Recovery_Volume_Expansion,False,True,525.1655272224006
PFSA,C_20_in_1_3,2026-08-18,H1_RSI_Recovery_Volume_Expansion,True,False,-36.026200085317065
PFSA,D_rapid_expansion,2026-08-18,H1_RSI_Recovery_Volume_Expansion,True,False,-36.026200085317065
ENLV,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,4.147461336638236
GIPR,B_20_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,True,72.55434489919892
GIPR,C_20_in_1_3,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,-16.733073468698933
GIPR,D_rapid_expansion,2026-08-24,H1_RSI_Recovery_Volume_Expansion,False,False,-16.733073468698933
FTFT,B_20_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,-4.901956201103741
PSQH,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,67.22891319851902
PSQH,D_rapid_expansion,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,67.22891319851902
PWCM,C_20_in_1_3,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,11.515155149447631
PWCM,D_rapid_expansion,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,11.515155149447631
PWCM,E_base_breakout,2026-08-19,H1_RSI_Recovery_Volume_Expansion,False,False,11.515155149447631
XAIR,B_20_from_low,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,14.218011156633704
XAIR,C_20_in_1_3,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,1.1560682489023755
YHC,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,True,False,-0.9523800873701971
JEM,E_base_breakout,2026-08-25,H1_RSI_Recovery_Volume_Expansion,False,False,-13.76011673703319
YXT,B_20_from_low,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,-53.990612067598455
YXT,C_20_in_1_3,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,-53.990612067598455
YXT,D_rapid_expansion,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,-53.990612067598455
BANL,C_20_in_1_3,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,True,169.21182343151116
BANL,D_rapid_expansion,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,True,169.21182343151116
BANL,E_base_breakout,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,True,169.21182343151116
CCG,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,17.998696831031413
CCG,D_rapid_expansion,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,6.76072664936036
CCG,E_base_breakout,2026-08-13,H1_RSI_Recovery_Volume_Expansion,False,False,6.76072664936036
CDT,C_20_in_1_3,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,1.6713142794601898
CDT,D_rapid_expansion,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,1.6713142794601898
NIKI,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,2.163227781498489
TOMZ,C_20_in_1_3,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,0.5181404116229027
CANG,C_20_in_1_3,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,30.136978546465375
CANG,D_rapid_expansion,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,30.136978546465375
CANG,E_base_breakout,2026-08-12,H1_RSI_Recovery_Volume_Expansion,False,False,30.136978546465375
XPON,C_20_in_1_3,2026-08-17,H1_RSI_Recovery_Volume_Expansion,True,True,166.13996430502382
XPON,D_rapid_expansion,2026-08-17,H1_RSI_Recovery_Volume_Expansion,True,True,166.13996430502382
XPON,E_base_breakout,2026-08-17,H1_RSI_Recovery_Volume_Expansion,True,True,166.13996430502382
MSS,E_base_breakout,2026-08-18,H1_RSI_Recovery_Volume_Expansion,False,True,98.72610072121617
MSS,C_20_in_1_3,2026-08-19,H1_RSI_Recovery_Volume_Expansion,True,False,22.043008788608674
MSS,D_rapid_expansion,2026-08-19,H1_RSI_Recovery_Volume_Expansion,True,False,22.043008788608674
APUS,C_20_in_1_3,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,False,10.53718462740103
APUS,D_rapid_expansion,2026-08-21,H1_RSI_Recovery_Volume_Expansion,False,False,10.53718462740103
DBGI,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,True,False,69.94504949779092
DBGI,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,True,False,69.94504949779092
FFAI,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,4.21585172406389
FFAI,D_rapid_expansion,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,4.21585172406389
AMZE,B_20_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,24.137936603117982
AMZE,E_base_breakout,2026-08-14,H1_RSI_Recovery_Volume_Expansion,False,False,-6.938777272773722
EDVA,C_20_in_1_3,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,43.49775149501076
SGLY,C_20_in_1_3,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,59.00734425635186
SGLY,D_rapid_expansion,2026-08-03,H1_RSI_Recovery_Volume_Expansion,False,False,59.00734425635186
STKH,C_20_in_1_3,2026-07-30,H1_RSI_Recovery_Volume_Expansion,True,True,150.88339561983778
STKH,D_rapid_expansion,2026-07-30,H1_RSI_Recovery_Volume_Expansion,True,True,150.88339561983778
YARW,C_20_in_1_3,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,26.430612215331493
YAAS,A_10_from_low,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,29.918032866977473
YAAS,B_20_from_low,2026-07-30,H1_RSI_Recovery_Volume_Expansion,False,False,29.918032866977473
YAAS,C_20_in_1_3,2026-08-10,H1_RSI_Recovery_Volume_Expansion,False,False,12.811392912638508
CLDI,A_10_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,-0.5820125543151256
CLDI,B_20_from_low,2026-08-04,H1_RSI_Recovery_Volume_Expansion,False,False,-0.5820125543151256
CSAI,A_10_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,False,28.27585883713233
CSAI,B_20_from_low,2026-08-05,H1_RSI_Recovery_Volume_Expansion,False,False,51.21951101319367
CSAI,C_20_in_1_3,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,30.183724559507596
CSAI,D_rapid_expansion,2026-08-06,H1_RSI_Recovery_Volume_Expansion,False,False,30.183724559507596
NEXR,A_10_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,True,False,49.57507797739724
NEXR,B_20_from_low,2026-08-07,H1_RSI_Recovery_Volume_Expansion,False,False,17.543860236179952
OFAL,A_10_from_low,2026-07-31,H1_RSI_Recovery_Volume_Expansion,False,True,267.9611715657828
