feature,rule,threshold,p_value,signals,successes,failures,success_rate,success_rate_ci95_clustered,base_rate_all_rows,lift,odds_ratio,fisher_p_value,relative_risk,median_return_20,mean_return_20,tickers,q_value_bh,significant_bh_05
rsi_change_1,top_30,4.059124205773557,0.14013411165644157,339,48,291,0.1415929203539823,"[0.09364789544493561, 0.19300285597715217]",0.16725352112676056,0.8465766185374942,0.7608537824887469,0.14013411165644157,0.8465766185374942,22.043008788608674,72.29249542221226,158,0.31659928929788655,False
rsi_change_1,top_20,6.879395553838365,0.2740227759991305,226,32,194,0.1415929203539823,"[0.08580963119226014, 0.20982799369747898]",0.16725352112676056,0.8465766185374942,0.7850711209708992,0.2740227759991305,0.8465766185374942,22.264146903266656,76.88956826022539,120,0.4845742413977361,False
rsi_change_1,top_10,9.965577609253085,0.8947513819164474,113,18,95,0.1592920353982301,"[0.0727090909090909, 0.26416481687014426]",0.16725352112676056,0.952398695854681,0.937454100367197,0.8947513819164474,0.952398695854681,28.96175002766985,80.64117333265483,64,0.9410316258086775,False
rsi_change_3,bottom_10,-7.918429653455871,0.18419152957392487,113,24,89,0.21238938053097345,"[0.11627387873754153, 0.3118279569892473]",0.16725352112676056,1.2698649278062413,1.3921754433464193,0.18419152957392487,1.2698649278062413,30.66202611605653,64.18708394716975,72,0.38743735531066953,False
rsi_change_3,bottom_20,-4.116358300672869,0.1111009749701755,226,46,180,0.20353982300884957,"[0.1361697133153531, 0.2678736772486772]",0.16725352112676056,1.216953889147648,1.3594135802469136,0.1111009749701755,1.216953889147648,29.657819471249503,77.74761368230666,134,0.27661875400737573,False
rsi_change_3,bottom_30,-1.5705094515997613,0.6019654159334096,338,53,285,0.15680473372781065,"[0.1071223316912972, 0.2073791916358536]",0.16725352112676056,0.9375272500778573,0.897246766551415,0.6019654159334096,0.9375272500778573,26.24303578793633,75.43897982239486,177,0.7875270444077397,False
rsi_change_3,median,0.21043887703876862,0.47573656834684364,565,99,466,0.1752212389380531,"[0.1339614218328841, 0.21631798771351513]",0.16725352112676056,1.0476385654401492,1.1205961420553696,0.47573656834684364,1.0476385654401492,23.943665046063888,86.75526633576263,222,0.6828218980978226,False
rsi_change_3,top_30,4.4116393540162235,0.7282765970419793,339,59,280,0.17404129793510326,"[0.12229859942456979, 0.2301525843108504]",0.16725352112676056,1.04058376028567,1.0712649945474373,0.7282765970419793,1.04058376028567,20.43910579954098,75.9415630063685,153,0.8807567074291738,False
rsi_change_3,top_20,7.0931538264783995,0.5531841962533246,229,35,194,0.15283842794759825,"[0.09496263022799335, 0.21368159203980097]",0.16725352112676056,0.9138129165709032,0.8752909876953775,0.5531841962533246,0.9138129165709032,21.654497264567453,62.82437591603902,119,0.7757295625621334,False
rsi_change_3,top_10,11.299070446705738,0.23180084499509213,113,14,99,0.12389380530973451,"[0.04672353836122582, 0.2093218682821966]",0.16725352112676056,0.7407545412203074,0.6805555555555556,0.23180084499509213,0.7407545412203074,21.788279838968805,81.28690895474165,65,0.44537018552096624,False
rsi_change_5,bottom_10,-12.294641473709547,0.42538862791539545,113,22,91,0.19469026548672566,"[0.09565217391304348, 0.2963269054178145]",0.16725352112676056,1.1640428504890545,1.2303767660910518,0.42538862791539545,1.1640428504890545,29.87013308711195,91.96694833050225,65,0.6503083882622495,False
