ticker,split_date,explosion_date,classification,maximum_gain_percent,first_post_split_open,first_day_high_vs_open_percent,first_day_close_vs_open_percent,first_5_sessions_high_vs_first_close_percent,day_2_to_6_high_vs_first_close_percent,cleared_20_percent_after_split,drawdown_from_pre_event_high_percent,recovery_from_trough_to_event_prev_close_percent,sessions_split_to_explosion,support_price,support_tests,support_stable_sessions,four_hour_status,four_hour_volume_ratio_5_vs_20
CISS,2026-04-27,2026-05-18,temporary_spike,98.69,113.599998,22.89,20.46,6.69,6.69,False,-26.03,12.96,15,121.760001,6,2,ok,0.7753447228686715
DRCT,2026-04-27,2026-05-04,pump_and_fade,194.29,2.24,12.5,9.38,67.76,108.16,True,-47.2,83.87,5,,0,0,ok,0.17199559481772378
QH,2026-04-27,2026-05-28,pump_and_fade,310.42,3.6,8.33,-16.67,30.0,16.67,True,-73.08,146.67,22,1.792,1,0,unavailable,
DGNX,2026-04-28,2026-05-29,temporary_spike,72.73,3.66,4.1,-28.42,45.42,1.53,True,-76.59,60.31,22,0.97,3,4,ok,1.6700490503544532
VNRX,2026-04-28,2026-08-27,temporary_spike,111.76,2.57,8.17,8.17,3.96,3.96,False,-89.88,3.03,84,0.524,2,2,ok,2.8700239900560534
ERNA,2026-05-04,2026-05-11,pump_and_fade,324.6,3.93,0.0,-4.83,127.01,127.01,True,-62.54,136.79,5,,0,0,ok,1.169459963685444
FCHL,2026-05-04,2026-05-13,pump_and_fade,124.81,2.4,52.08,28.33,18.51,-0.97,False,-65.21,4.72,7,,0,0,ok,0.256614946041659
INHD,2026-05-04,2026-06-08,pump_and_fade,4030.48,1.62,19.14,8.64,19.32,19.32,False,-51.9,3.96,24,1.182,8,2,ok,1.1856152216940479
VEEE,2026-05-04,2026-07-13,pump_and_fade,1108.93,6.37,33.44,-4.71,40.03,44.98,True,-52.73,15.87,47,4.98,8,5,ok,0.5136417322925573
MIMI,2026-05-06,2026-07-13,temporary_spike,73.0,2.71,2.21,-3.32,18.32,20.23,False,-55.38,9.14,45,2.548,5,0,ok,0.4588077536821785
CHSN,2026-05-07,2026-06-09,temporary_spike,72.48,1.71,46.2,7.02,36.61,-13.17,True,-60.4,31.31,22,1.064,6,3,ok,0.5673969400437313
OLOX,2026-05-08,2026-05-29,pump_and_fade,133.13,4.7,22.34,-3.62,26.93,26.93,True,-29.67,20.0,14,4.4044,5,1,ok,0.9348371749651383
ADTX,2026-05-18,2026-06-18,pump_and_fade,1400.0,1.9,1.58,-14.47,18.77,16.31,False,-99.79,0.0,22,0.013,0,3,ok,1.3667042797316538
EZRA,2026-05-18,2026-08-03,temporary_spike,156.98,4.82,6.95,-5.39,19.52,19.52,False,-67.89,4.0,52,2.153,7,4,ok,1.5719666485866013
FRGT,2026-05-18,2026-06-22,temporary_spike,75.07,2.61,17.62,12.64,47.93,47.93,True,-49.9,46.54,23,3.254,6,2,ok,0.06720992562697138
PPCB,2026-05-18,2026-06-11,pump_and_fade,402.96,1.61,45.96,27.33,14.63,0.97,False,-44.68,3.85,17,1.47114,1,1,ok,0.9855698060771098
RETO,2026-05-18,2026-08-17,pump_and_fade,94.59,2.11,6.64,1.9,30.23,30.23,True,-74.86,45.45,62,2.462,13,5,ok,0.40648391812159784
EZGO,2026-05-19,2026-06-09,temporary_spike,150.0,1.8,45.56,21.11,20.18,-3.67,True,-51.15,16.41,14,1.318,5,2,ok,1.2971687671383523
CMND,2026-05-21,2026-05-29,pump_and_fade,106.19,2.5,2.0,-1.6,9.67,89.43,False,-22.16,16.67,5,,0,0,ok,0.006868186261140434
HAO,2026-05-21,2026-06-08,temporary_spike,130.51,32.599998,1.23,-5.52,7.14,-12.34,False,-52.73,13.46,11,17.66,3,1,ok,0.6081874204398884
ONCO,2026-05-21,2026-09-04,pump_and_fade,71.57,1.14,13.16,7.02,18.03,18.03,False,-59.24,25.89,73,0.64,11,10,ok,1.1015128477854097
LNAI,2026-05-22,2026-06-17,pump_and_fade,122.12,2.26,6.19,0.0,43.36,49.56,True,-40.24,40.84,17,2.256,4,3,ok,1.6719984065990119
LZMH,2026-05-22,2026-06-08,temporary_spike,82.57,1.26,15.08,10.32,4.32,-3.6,False,-28.97,7.77,10,1.08,4,3,ok,0.7333147589342073
TJGC,2026-05-26,2026-06-03,pump_and_fade,222.83,2.19,0.0,0.0,0.0,0.0,False,0.0,0.0,6,,0,0,unavailable,
VSA,2026-05-26,2026-06-02,pump_and_fade,113.57,3.79,14.78,4.75,13.85,94.21,False,-25.66,27.38,5,,0,0,ok,0.2235844875137806
CUPR,2026-05-27,2026-06-12,pump_and_fade,554.87,1.97,23.35,12.44,67.04,67.04,True,-49.73,29.57,12,2.11,4,1,ok,2.7748546112406207
SDOT,2026-05-27,2026-06-03,pump_and_fade,1360.07,3.25,7.02,-11.69,21.18,229.62,True,-24.38,24.71,5,,0,0,ok,0.8639475400919857
RPGL,2026-05-28,2026-06-04,temporary_spike,83.5,9.22,28.2,5.21,34.59,34.59,True,-76.79,0.0,5,,0,0,ok,0.26015924045418193
HKIT,2026-05-29,2026-06-08,pump_and_fade,224.91,42.5,17.0,-14.12,502.74,502.74,True,-97.39,22.17,6,,0,0,ok,0.9280813023441383
CDTG,2026-06-01,2026-06-12,temporary_spike,83.09,5.49,31.15,31.15,110.0,110.0,True,-85.05,23.01,9,,0,0,ok,2.271969875071478
DAIC,2026-06-01,2026-08-24,pump_and_fade,1492.86,3.52,39.49,28.98,8.15,0.66,False,-92.46,15.14,58,0.584,1,2,ok,0.28445734470848544
WYHG,2026-06-02,2026-06-18,pump_and_fade,137.47,3.65,6.58,6.3,13.14,13.14,False,-45.45,63.27,12,3.17,3,0,ok,1.0863151527710493
ICCM,2026-06-04,2026-06-17,pump_and_fade,347.89,4.31,32.02,21.11,9.0,3.64,False,-62.74,0.47,9,,0,0,ok,0.9914714297467023
WXM,2026-06-04,2026-08-11,pump_and_fade,279.82,4.44,122.97,35.14,65.0,-8.33,True,-73.74,53.85,46,3.009,8,5,ok,1.6370868408189867
FEMY,2026-06-08,2026-08-19,temporary_spike,70.83,5.92,6.17,-8.95,16.6,2.37,False,-67.83,8.8,50,2.582,1,1,ok,0.5279743904110545
HUBC,2026-06-08,2026-06-15,pump_and_fade,116.95,3.01,3.65,-41.53,77.27,45.45,True,-63.46,3.51,5,,0,0,ok,0.018041853264085157
KIDZ,2026-06-08,2026-07-06,pump_and_fade,147.79,35.849998,13.43,1.67,11.56,2.02,False,-76.69,7.59,18,10.44,0,4,ok,0.29168009361491065
ZCMD,2026-06-08,2026-06-29,pump_and_fade,226.0,2.4,57.5,8.12,45.66,4.62,True,-76.19,6.0,14,1.2444,2,1,ok,2.6953312640181766
GMM,2026-06-11,2026-07-10,pump_and_fade,212.97,2.5,29.64,15.2,64.93,64.93,True,-62.11,2.78,19,2.21,4,4,ok,0.8964027443728673
SHPH,2026-06-11,2026-06-26,temporary_spike,77.75,4.4,7.5,-5.0,13.16,9.33,False,-33.19,19.62,10,3.374,4,2,ok,0.6346862975977451
AIFA,2026-06-12,2026-08-11,pump_and_fade,115.62,2.31,6.06,2.16,12.29,12.29,False,-42.64,38.82,40,1.6844,3,3,ok,3.021705349615253
AIFU,2026-06-16,2026-08-24,pump_and_fade,148.88,56.549999,6.1,-10.08,17.99,3.23,False,-81.17,63.72,47,32.0,6,2,ok,0.7424823253825525
VMAR,2026-06-17,2026-07-14,temporary_spike,81.45,28.0,40.71,25.0,12.57,-6.0,False,-74.62,41.0,17,11.36,4,0,ok,1.9177512911324466
